hip,proper,bayer,ra,dec,mag,con
16322,,,3.506797,11.336442,5.14,Tau
16358,,,3.512617,6.188703,5.93,Tau
16369,,,3.514549,12.936678,4.14,Tau
16511,,,3.543319,9.373438,5.76,Tau
16641,,,3.568993,17.832828,6.14,Tau
16664,,,3.574062,24.464393,5.95,Tau
16695,,,3.5803,6.417691,6.49,Tau
16846,,,3.613136,0.587758,5.82,Tau
16852,,,3.614551,0.401662,4.29,Tau
16924,,,3.629953,15.430552,6.4,Tau
17026,,,3.650017,20.915765,6.5,Tau
17058,,,3.657153,16.536685,6.18,Tau
17103,,,3.664201,3.056863,5.55,Tau
17120,,,3.666547,-1.121226,6.12,Tau
17181,,,3.67953,25.329492,6.11,Tau
17309,,,3.705263,19.700254,5.68,Tau
17408,,,3.72978,19.665032,6.13,Tau
17453,,,3.741167,20.928737,6.09,Tau
17489,Celaeno,,3.746726,24.28947,5.45,Tau
17499,Electra,,3.747927,24.113339,3.72,Tau
17527,,,3.752705,24.83926,5.66,Tau
17531,Taygeta,,3.75347,24.467278,4.3,Tau
17563,,,3.761234,6.049991,5.34,Tau
17573,Maia,,3.763779,24.367748,3.87,Tau
17579,Asterope,,3.765132,24.554511,5.76,Tau
17588,,,3.767472,24.527898,6.43,Tau
17595,,,3.769267,6.80352,5.91,Tau
17608,Merope,,3.772104,23.948358,4.14,Tau
17702,Alcyone,Eta,3.79141,24.105137,2.85,Tau
17759,,,3.801817,24.988416,6.44,Tau
17771,,,3.804519,11.143294,5.08,Tau
17776,,,3.805782,23.42125,5.44,Tau
17832,,,3.815816,23.857135,6.47,Tau
17847,Atlas,,3.819373,24.053415,3.62,Tau
17851,Pleione,,3.819782,24.136712,5.05,Tau
17900,,,3.828758,23.711855,6.17,Tau
17921,,,3.831964,22.244151,6.05,Tau
17954,,,3.838593,25.579362,5.24,Tau
18033,,,3.854408,13.046078,6.3,Tau
18089,,,3.86673,6.534907,5.66,Tau
18170,,,3.886123,17.327083,5.97,Tau
18201,,,3.89291,25.682883,6.35,Tau
18471,,,3.947798,22.477971,5.62,Tau
18481,,,3.950477,6.039967,6.09,Tau
18485,,,3.951058,23.17555,6.05,Tau
18508,,,3.957328,24.461937,6.19,Tau
18658,,,3.994581,10.330402,6.35,Tau
18717,,,4.010247,17.29666,6.31,Tau
18724,,Lam,4.011338,12.490347,3.41,Tau
18735,,,4.013545,18.194,5.89,Tau
18805,,,4.029482,9.998017,5.67,Tau
18907,,Nu,4.052606,5.989305,3.91,Tau
18957,,,4.06239,5.435624,5.32,Tau
18975,,,4.065723,8.197269,5.45,Tau
18993,,,4.06941,2.826947,5.36,Tau
19009,,,4.072687,24.105993,5.46,Tau
19038,,,4.078253,22.081926,4.36,Tau
19076,,,4.088958,22.008905,5.9,Tau
19171,,,4.110114,27.599903,5.18,Tau
19205,,Psi,4.116795,29.001299,5.21,Tau
19261,,,4.128328,15.162788,6.02,Tau
19284,,,4.133171,17.339897,5.89,Tau
19376,,,4.150436,13.398281,5.94,Tau
19388,,Ome-1,4.152768,19.609217,5.51,Tau
19434,,,4.161946,3.322697,6.49,Tau
19513,,,4.180517,26.480952,5.39,Tau
19554,,,4.188967,5.523047,5.71,Tau
19641,,,4.208709,17.27746,6.09,Tau
19672,,,4.214235,22.413458,6.14,Tau
19719,,,4.225862,7.716045,5.29,Tau
19720,,,4.226269,10.212458,6.24,Tau
19736,,,4.23051,12.753701,6.25,Tau
19740,,,4.232329,9.263824,4.84,Tau
19799,,,4.243398,10.011406,5.22,Tau
19859,,,4.258,6.186858,6.32,Tau
19860,,Mu,4.258905,8.892357,4.27,Tau
19877,,,4.262856,15.400695,6.31,Tau
19990,,Ome-2,4.287684,20.578591,4.93,Tau
20087,,,4.306444,21.579297,5.64,Tau
20171,,,4.323916,21.142307,5.5,Tau
20186,,,4.326862,21.773491,5.34,Tau
20188,,,4.32706,10.121437,6.31,Tau
20205,Prima Hyadum,Gam,4.329889,15.627642,3.65,Tau
20219,,,4.332695,14.035201,5.58,Tau
20250,,Phi,4.339227,27.350754,4.97,Tau
20255,,,4.340307,18.742608,6.11,Tau
20261,,,4.343419,15.095453,5.26,Tau
20268,,,4.34479,6.130798,5.76,Tau
20284,,,4.347977,13.864427,6.15,Tau
20400,,,4.367643,14.077198,5.72,Tau
20417,,,4.372981,20.821416,5.91,Tau
20430,,Chi,4.376373,25.629314,5.38,Tau
20455,Secunda Hyadum,Del-1,4.382247,17.542514,3.77,Tau
20484,,,4.390294,16.77726,5.64,Tau
20493,,,4.392324,20.982044,6.0,Tau
20522,,,4.397729,9.460968,5.1,Tau
20533,,,4.399934,24.300992,6.34,Tau
20542,,Del-2,4.401599,17.44413,4.8,Tau
20558,,,4.404023,12.157987,6.42,Tau
20614,,,4.415868,19.042013,5.97,Tau
20635,,Kap-1,4.422822,22.293874,4.21,Tau
20641,,Kap-2,4.423614,22.199998,5.27,Tau
20648,,Del-3,4.424828,17.92791,4.3,Tau
20661,,,4.427032,15.94101,6.44,Tau
20698,,,4.433708,4.373451,6.37,Tau
20711,,Ups,4.438461,22.813583,4.28,Tau
20713,,,4.439094,15.618265,4.48,Tau
20715,,,4.439195,8.590269,6.06,Tau
20732,,Pi,4.443437,14.713782,4.69,Tau
20771,,,4.450194,2.079409,6.23,Tau
20789,,,4.454847,22.996337,5.53,Tau
20804,,,4.457991,11.2123,5.87,Tau
20842,,,4.466883,21.619907,5.72,Tau
20848,,,4.467677,1.858605,6.14,Tau
20873,,,4.473167,14.740974,5.9,Tau
20877,,,4.473992,16.359672,4.96,Tau
20884,,,4.475589,1.380821,5.53,Tau
20885,,The-1,4.476248,15.962181,3.84,Tau
20889,Ain,Eps,4.476943,19.180431,3.53,Tau
20894,Chamukuy,The-2,4.477705,15.870883,3.4,Tau
20901,,,4.480601,13.047602,5.02,Tau
20904,,,4.481108,30.361492,6.38,Tau
20985,,,4.500636,10.262214,6.47,Tau
20995,,,4.502388,15.63784,5.58,Tau
21029,,,4.509342,16.194014,4.78,Tau
21036,,,4.510378,13.724402,5.4,Tau
21039,,,4.510802,15.691879,5.47,Tau
21053,,,4.512998,16.148696,6.5,Tau
21082,,,4.518664,15.105037,6.28,Tau
21137,,,4.531043,15.85156,6.01,Tau
21152,,,4.534669,5.410035,6.37,Tau
21251,,,4.55918,18.016722,6.24,Tau
21269,,,4.563382,9.413567,6.01,Tau
21273,,Rho,4.564143,14.844424,4.65,Tau
21295,,,4.568963,5.568616,5.67,Tau
21323,,,4.57722,28.96115,5.88,Tau
21402,,,4.594239,10.16079,4.25,Tau
21408,,,4.595156,19.881791,6.33,Tau
21421,Aldebaran,Alp,4.598677,16.509301,0.87,Tau
21459,,,4.608092,23.340855,6.01,Tau
